ID,Provider_1,ProvID_1,Provider_2,ProvID_2,Stationnam,RiverName,RiverBasin,Country,CountryNam,Continent,HydroRegio,DrainArPro,DrainArLDD,YProvided,XProvided,YCorrected,XCorrected,ToCalibrat,ValidGLOFA,Legend_for,Comments,StartDate,EndDate,AddedDate,Lake,Reservoir,Lastupdate,CalibYear
G0383,GRDC,4207800,NA,NA,Near Spences Bridge,Thompson,Fraser,CA,Canada,North_America,12,54900,56773,50.3569,-121.3939,50.45,-121.35,1,1,,,10/1/1951,12/31/2013,,0,0,2/1/2018,2017
G0384,GRDC,4243800,NA,NA,Above Qnslr Bridge,Moisie,Na,CA,Canada,North_America,12,19000,19407,50.3503,-66.1903,50.45,-66.15,1,1,,,6/17/1965,10/21/2013,,0,0,,2017
G0385,GRDC,4213800,NA,NA,Slave Falls,Winnipeg,Nelson,CA,Canada,North_America,11,126000,128400,50.225,-95.5708,50.35,-95.55,1,1,,[ZZ] under dam nor represented in GloFAS(not in GLWD nor GranD) this section has many dams not represented in GloFAS,1/1/1914,12/31/2016,,0,0,2/1/2018,2017
G0386,GRDC,6336050,NA,NA,Cochem,Moselle,Rhine,DE,Germany,Europe,32,27088,27566,50.143,7.168,50.15,7.15,1,1,,,1/1/1914,12/31/2012,,0,0,,2017
G0387,GRDC,4213803,NA,NA,Whitedog Falls Powerhouse,Winnipeg,Nelson,CA,Canada,North_America,11,-9999,72782,50.1167,-94.8708,50.15,-94.85,1,1,,[ZZ] dam,1/1/1914,12/31/1994,,238,0,,0
G0388,GRDC,4213574,NA,NA,Near Miniota,Assiniboine,Nelson,CA,Canada,North_America,11,84700,83934,50.1108,-101.0356,49.85,-99.85,1,1,,,3/1/1961,10/31/2016,,0,0,2/1/2018,2017
G0389,GRDC,4213681,NA,NA,Near Lockport,Red River(Of The North),Nelson,CA,Canada,North_America,11,278000,267114,50.1078,-96.9317,50.15,-96.85,1,1,,,1/10/1962,4/30/2008,,0,0,,2017
G0390,GRDC,6335304,NA,NA,Frankfurt A  M  Osthafen,Main,Rhine,DE,Germany,Europe,32,24764,25423,50.106,8.667,50.15,8.85,1,1,,,11/1/1963,9/30/2012,,0,0,,2017
G0391,GRDC,6335100,NA,NA,Kaub,Rhine,Rhine,DE,Germany,Europe,32,103488,106102,50.086,7.765,50.05,7.75,1,1,,,11/1/1930,12/31/2012,,0,0,,2017
G0392,GRDC,4213047,NA,NA,Near The Mouth,Bow,Nelson,CA,Canada,North_America,11,25300,23504,50.0464,-111.5911,50.05,-111.55,1,1,,,5/8/1964,12/31/2016,,0,0,2/1/2018,2017
G0393,GRDC,4213250,NA,NA,Medicine Hat,South Saskatchewan,Nelson,CA,Canada,North_America,11,56500,55497,50.0431,-110.6778,50.05,-110.75,1,1,,,1/1/1914,12/31/2016,,0,0,2/1/2018,2017
G0394,GRDC,6335301,NA,NA,Schweinfurt,Main,Rhine,DE,Germany,Europe,32,12715,12892,50.031,10.221,50.05,10.25,1,1,,,1/1/1914,6/30/2013,,0,0,,2017
G0395,GRDC,6335302,NA,NA,Steinbach,Main,Rhine,DE,Germany,Europe,32,17914,18489,50.01,9.604,50.05,9.65,1,1,,,11/1/1964,6/30/2013,,0,0,,2017
G0396,GRDC,6335150,NA,NA,Mainz,Rhine,Rhine,DE,Germany,Europe,32,98206,100957,50.005,8.275,50.05,8.25,1,1,,,11/1/1930,12/31/2012,,0,0,,2017
G0397,GRDC,4114615,NA,NA,En Amont De La Riviere Harricana,Turgeon,Na,CA,Canada,North_America,11,11200,11166,49.9853,-79.0953,49.95,-79.05,1,1,,,1/31/1968,9/30/2001,,0,0,,2017
G0398,GRDC,4213575,NA,NA,Near Portage La Prairie,Assiniboine,Nelson,CA,Canada,North_America,11,161000,150402,49.9358,-98.28,49.95,-98.15,1,1,,just after reservoir,4/23/1923,10/31/2016,,0,0,2/1/2018,2017
G0399,GRDC,6335303,NA,NA,Trunstadt,Main,Rhine,DE,Germany,Europe,32,12010,12161,49.93,10.755,49.95,10.75,1,1,,,11/1/1975,6/30/2013,,0,0,,2017
G0400,GRDC,4213103,NA,NA,Near The Mouth,Oldman,Nelson,CA,Canada,North_America,11,27500,28163,49.9189,-111.8,49.95,-112.05,1,1,,,5/8/1964,12/31/2016,,0,0,2/1/2018,2017
G0401,GRDC,4214515,NA,NA,Abitibi Canyon,Abitibi,Moose,CA,Canada,North_America,11,22900,22942,49.8819,-81.5667,50.05,-81.55,1,1,,,4/17/1929,12/31/1994,,0,0,,0
G0402,GRDC,4213570,NA,NA,Near Brandon,Assiniboine,Nelson,CA,Canada,North_America,11,85700,85243,49.8722,-100.1028,49.65,-99.65,1,1,,data checked,1/1/1974,1/14/2014,,0,0,,2017
G0403,GRDC,4213650,NA,NA,Headingley,Assiniboine,Nelson,CA,Canada,North_America,11,153000,151377,49.8692,-97.4028,49.85,-97.35,1,1,,data checked,1/1/1914,12/31/2016,,0,0,2/1/2018,2017
G0404,GRDC,4214655,NA,NA,A La Chute Rouge,Waswanipi,Nottaway,CA,Canada,North_America,11,31900,32624,49.8575,-77.1872,49.85,-77.25,1,1,,,5/31/1966,10/21/2013,,258,0,,2017
